Nome,Tipo,TRESHOLD,NUM_CENTERS,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
RBF,Treino,0.28,40,46409,1183,16457,850,0.04911307563413648,0.4181013280865716,0.968674401762739,0.03132559823726098
RBF,Treino,0.29000000000000004,40,46787,805,16678,629,0.03634367596926099,0.4386331938633194,0.9779041279526649,0.02209587204733509
RBF,Treino,0.3,100,20739,413,7232,460,0.059802392095683825,0.5269186712485682,0.9697337401192623,0.03026625988073776
RBF,Treino,0.3,1000,20592,560,6339,1353,0.17589703588143527,0.7072660742289597,0.9336777146026903,0.06632228539730967
RBF,Treino,0.3,2000,20671,481,6490,1202,0.156266250650026,0.7142008318478906,0.9416516433227015,0.05834835667729857
RBF,Treino,0.3,40,20823,329,7424,268,0.034841393655746226,0.4489112227805695,0.9793024545832756,0.020697545416724448
RBF,Treino,0.3,4000,20854,298,7271,421,0.0547321892875715,0.5855354659248957,0.9750728054361393,0.024927194563860767
RBF,Treino,0.3,500,20661,491,6714,978,0.12714508580343215,0.6657590197413207,0.9490708639578422,0.05092913604215781
RBF,Treino,0.30000000000000004,40,46975,617,16769,538,0.03108568787195932,0.4658008658008658,0.9822031156104101,0.017796884389589977
RBF,Treino,0.31,40,47104,488,16844,463,0.026752181198359044,0.4868559411146162,0.9853464614246753,0.014653538575324735
RBF,Treino,0.32,40,47180,412,16899,408,0.023574276304385508,0.4975609756097561,0.9873649825112868,0.012635017488713231
RBF,Treino,0.33,40,47248,344,16934,373,0.021551973190038713,0.5202231520223152,0.9889520639763325,0.011047936023667545
RBF,Treino,0.34,40,47305,287,16960,347,0.02004969087652395,0.5473186119873817,0.9902309742831168,0.009769025716883158
RBF,Treino,0.35,40,47339,253,16990,317,0.01831628820708384,0.5561403508771929,0.991217121989553,0.008782878010447002
RBF,Treino,0.36,40,47370,222,17013,294,0.016987346160513086,0.5697674418604651,0.9920491841168585,0.007950815883141497
RBF,Treino,0.37,40,47398,194,17031,276,0.01594730455884902,0.5872340425531914,0.9927579777808595,0.00724202221914051
RBF,Treino,0.38,40,47416,176,17047,260,0.015022823135147629,0.5963302752293578,0.9932818687499037,0.0067181312500963035
RBF,Treino,0.39,40,47441,151,17068,239,0.013809441266539551,0.6128205128205129,0.9939906624139047,0.006009337586095317
RBF,Treino,0.4,40,47454,138,17082,225,0.013000520020800831,0.6198347107438017,0.9944066934775574,0.005593306522442564
