,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
154,RBF_10_1,Treino,4,4765,0,1725,0
155,RBF_10_1,Treino,5,4755,0,1735,0
156,RBF_10_1,Treino,6,4755,0,1735,0
157,RBF_10_1,Treino,7,4739,0,1751,0
158,RBF_10_1,Treino,8,4766,0,1724,0
159,RBF_10_1,Treino,9,4769,0,1721,0
160,RBF_20_-0.5,Teste,0,0,528,0,194
161,RBF_20_-0.5,Teste,1,0,532,0,189
162,RBF_20_-0.5,Teste,2,0,523,0,198
163,RBF_20_-0.5,Teste,3,0,526,0,195
164,RBF_20_-0.5,Teste,4,0,523,0,198
165,RBF_20_-0.5,Teste,5,0,533,0,188
166,RBF_20_-0.5,Teste,6,0,533,0,188
167,RBF_20_-0.5,Teste,7,0,549,0,172
168,RBF_20_-0.5,Teste,8,0,522,0,199
169,RBF_20_-0.5,Teste,9,0,519,0,202
170,RBF_20_-0.5,Treino,0,0,4760,0,1729
171,RBF_20_-0.5,Treino,1,0,4756,0,1734
172,RBF_20_-0.5,Treino,2,0,4765,0,1725
173,RBF_20_-0.5,Treino,3,0,4762,0,1728
174,RBF_20_-0.5,Treino,4,0,4765,0,1725
175,RBF_20_-0.5,Treino,5,0,4755,0,1735
176,RBF_20_-0.5,Treino,6,0,4755,0,1735
177,RBF_20_-0.5,Treino,7,0,4739,0,1751
178,RBF_20_-0.5,Treino,8,0,4766,0,1724
179,RBF_20_-0.5,Treino,9,0,4769,0,1721
180,RBF_20_0.0,Teste,0,0,528,0,194
181,RBF_20_0.0,Teste,1,3,529,0,189
182,RBF_20_0.0,Teste,2,0,523,0,198
183,RBF_20_0.0,Teste,3,1,525,0,195
184,RBF_20_0.0,Teste,4,1,522,0,198
185,RBF_20_0.0,Teste,5,2,531,0,188
186,RBF_20_0.0,Teste,6,2,531,0,188
187,RBF_20_0.0,Teste,7,1,548,1,171
188,RBF_20_0.0,Teste,8,3,519,0,199
189,RBF_20_0.0,Teste,9,0,519,0,202
190,RBF_20_0.0,Treino,0,10,4750,1,1728
191,RBF_20_0.0,Treino,1,20,4736,1,1733
192,RBF_20_0.0,Treino,2,15,4750,2,1723
193,RBF_20_0.0,Treino,3,27,4735,1,1727
194,RBF_20_0.0,Treino,4,20,4745,1,1724
195,RBF_20_0.0,Treino,5,16,4739,1,1734
196,RBF_20_0.0,Treino,6,10,4745,2,1733
197,RBF_20_0.0,Treino,7,19,4720,0,1751
198,RBF_20_0.0,Treino,8,8,4758,1,1723
199,RBF_20_0.0,Treino,9,3,4766,0,1721
200,RBF_20_0.5,Teste,0,528,0,194,0
201,RBF_20_0.5,Teste,1,531,1,188,1
202,RBF_20_0.5,Teste,2,523,0,198,0
203,RBF_20_0.5,Teste,3,526,0,195,0
204,RBF_20_0.5,Teste,4,517,6,198,0
205,RBF_20_0.5,Teste,5,533,0,188,0
206,RBF_20_0.5,Teste,6,533,0,188,0
207,RBF_20_0.5,Teste,7,548,1,171,1
208,RBF_20_0.5,Teste,8,522,0,198,1
209,RBF_20_0.5,Teste,9,518,1,202,0
210,RBF_20_0.5,Treino,0,4754,6,1726,3
211,RBF_20_0.5,Treino,1,4752,4,1732,2
212,RBF_20_0.5,Treino,2,4763,2,1725,0
213,RBF_20_0.5,Treino,3,4759,3,1728,0
214,RBF_20_0.5,Treino,4,4756,9,1717,8
215,RBF_20_0.5,Treino,5,4755,0,1735,0
216,RBF_20_0.5,Treino,6,4753,2,1735,0
217,RBF_20_0.5,Treino,7,4731,8,1742,9
218,RBF_20_0.5,Treino,8,4760,6,1722,2
219,RBF_20_0.5,Treino,9,4768,1,1721,0
220,RBF_20_1,Teste,0,528,0,194,0
221,RBF_20_1,Teste,1,532,0,189,0
222,RBF_20_1,Teste,2,523,0,198,0
223,RBF_20_1,Teste,3,526,0,195,0
224,RBF_20_1,Teste,4,523,0,198,0
225,RBF_20_1,Teste,5,533,0,188,0
226,RBF_20_1,Teste,6,533,0,188,0
227,RBF_20_1,Teste,7,549,0,172,0
228,RBF_20_1,Teste,8,522,0,199,0
229,RBF_20_1,Teste,9,519,0,202,0
230,RBF_20_1,Treino,0,4760,0,1729,0
231,RBF_20_1,Treino,1,4756,0,1734,0
232,RBF_20_1,Treino,2,4765,0,1725,0
233,RBF_20_1,Treino,3,4762,0,1728,0
234,RBF_20_1,Treino,4,4765,0,1725,0
235,RBF_20_1,Treino,5,4755,0,1735,0
236,RBF_20_1,Treino,6,4755,0,1735,0
237,RBF_20_1,Treino,7,4739,0,1751,0
238,RBF_20_1,Treino,8,4766,0,1724,0
239,RBF_20_1,Treino,9,4769,0,1721,0
240,RBF_40_-0.5,Teste,0,0,528,0,194
241,RBF_40_-0.5,Teste,1,0,532,0,189
242,RBF_40_-0.5,Teste,2,0,523,0,198
243,RBF_40_-0.5,Teste,3,0,526,0,195
244,RBF_40_-0.5,Teste,4,1,522,0,198
245,RBF_40_-0.5,Teste,5,0,533,0,188
246,RBF_40_-0.5,Teste,6,0,533,0,188
247,RBF_40_-0.5,Teste,7,0,549,0,172
248,RBF_40_-0.5,Teste,8,0,522,0,199
249,RBF_40_-0.5,Teste,9,0,519,0,202
250,RBF_40_-0.5,Treino,0,0,4760,0,1729
251,RBF_40_-0.5,Treino,1,0,4756,0,1734
252,RBF_40_-0.5,Treino,2,0,4765,0,1725
253,RBF_40_-0.5,Treino,3,0,4762,0,1728
254,RBF_40_-0.5,Treino,4,0,4765,0,1725
255,RBF_40_-0.5,Treino,5,0,4755,0,1735
256,RBF_40_-0.5,Treino,6,0,4755,0,1735
257,RBF_40_-0.5,Treino,7,0,4739,0,1751
258,RBF_40_-0.5,Treino,8,0,4766,0,1724
259,RBF_40_-0.5,Treino,9,0,4769,0,1721
260,RBF_40_0.0,Teste,0,4,524,0,194
261,RBF_40_0.0,Teste,1,3,529,1,188
262,RBF_40_0.0,Teste,2,0,523,0,198
263,RBF_40_0.0,Teste,3,9,517,0,195
264,RBF_40_0.0,Teste,4,5,518,0,198
265,RBF_40_0.0,Teste,5,3,530,1,187
266,RBF_40_0.0,Teste,6,2,531,0,188
267,RBF_40_0.0,Teste,7,4,545,0,172
268,RBF_40_0.0,Teste,8,7,515,2,197
269,RBF_40_0.0,Teste,9,3,516,1,201
270,RBF_40_0.0,Treino,0,32,4728,1,1728
271,RBF_40_0.0,Treino,1,38,4718,0,1734
272,RBF_40_0.0,Treino,2,25,4740,1,1724
273,RBF_40_0.0,Treino,3,37,4725,0,1728
274,RBF_40_0.0,Treino,4,26,4739,0,1725
275,RBF_40_0.0,Treino,5,28,4727,1,1734
276,RBF_40_0.0,Treino,6,20,4735,0,1735
277,RBF_40_0.0,Treino,7,39,4700,1,1750
278,RBF_40_0.0,Treino,8,22,4744,0,1724
279,RBF_40_0.0,Treino,9,29,4740,0,1721
280,RBF_40_0.5,Teste,0,528,0,192,2
281,RBF_40_0.5,Teste,1,530,2,189,0
282,RBF_40_0.5,Teste,2,523,0,196,2
283,RBF_40_0.5,Teste,3,522,4,192,3
284,RBF_40_0.5,Teste,4,521,2,195,3
285,RBF_40_0.5,Teste,5,532,1,188,0
286,RBF_40_0.5,Teste,6,531,2,187,1
287,RBF_40_0.5,Teste,7,547,2,168,4
288,RBF_40_0.5,Teste,8,521,1,198,1
289,RBF_40_0.5,Teste,9,517,2,201,1
290,RBF_40_0.5,Treino,0,4748,12,1710,19
291,RBF_40_0.5,Treino,1,4730,26,1705,29
292,RBF_40_0.5,Treino,2,4753,12,1708,17
293,RBF_40_0.5,Treino,3,4740,22,1705,23
294,RBF_40_0.5,Treino,4,4749,16,1708,17
295,RBF_40_0.5,Treino,5,4742,13,1712,23
296,RBF_40_0.5,Treino,6,4746,9,1715,20
297,RBF_40_0.5,Treino,7,4723,16,1734,17
298,RBF_40_0.5,Treino,8,4754,12,1710,14
299,RBF_40_0.5,Treino,9,4761,8,1705,16
300,RBF_40_1,Teste,0,528,0,193,1
301,RBF_40_1,Teste,1,532,0,189,0
302,RBF_40_1,Teste,2,523,0,197,1
303,RBF_40_1,Teste,3,526,0,195,0
304,RBF_40_1,Teste,4,522,1,198,0
305,RBF_40_1,Teste,5,533,0,188,0
306,RBF_40_1,Teste,6,533,0,187,1
307,RBF_40_1,Teste,7,549,0,171,1
308,RBF_40_1,Teste,8,522,0,198,1
309,RBF_40_1,Teste,9,519,0,202,0
310,RBF_40_1,Treino,0,4760,0,1727,2
311,RBF_40_1,Treino,1,4756,0,1734,0
312,RBF_40_1,Treino,2,4765,0,1722,3
313,RBF_40_1,Treino,3,4762,0,1728,0
314,RBF_40_1,Treino,4,4765,0,1722,3
315,RBF_40_1,Treino,5,4755,0,1731,4
316,RBF_40_1,Treino,6,4755,0,1731,4
317,RBF_40_1,Treino,7,4739,0,1748,3
318,RBF_40_1,Treino,8,4766,0,1721,3
319,RBF_40_1,Treino,9,4769,0,1717,4
320,RBF_80_-0.5,Teste,0,0,528,0,194
321,RBF_80_-0.5,Teste,1,0,532,0,189
322,RBF_80_-0.5,Teste,2,0,523,0,198
323,RBF_80_-0.5,Teste,3,0,526,0,195
324,RBF_80_-0.5,Teste,4,0,523,0,198
325,RBF_80_-0.5,Teste,5,0,533,0,188
326,RBF_80_-0.5,Teste,6,0,533,0,188
327,RBF_80_-0.5,Teste,7,0,549,0,172
328,RBF_80_-0.5,Teste,8,0,522,0,199
329,RBF_80_-0.5,Teste,9,0,519,0,202
330,RBF_80_-0.5,Treino,0,0,4760,0,1729
331,RBF_80_-0.5,Treino,1,0,4756,0,1734
332,RBF_80_-0.5,Treino,2,0,4765,0,1725
333,RBF_80_-0.5,Treino,3,0,4762,0,1728
334,RBF_80_-0.5,Treino,4,0,4765,0,1725
335,RBF_80_-0.5,Treino,5,0,4755,0,1735
336,RBF_80_-0.5,Treino,6,0,4755,0,1735
337,RBF_80_-0.5,Treino,7,0,4739,0,1751
338,RBF_80_-0.5,Treino,8,0,4766,0,1724
339,RBF_80_-0.5,Treino,9,0,4769,0,1721
340,RBF_80_0.0,Teste,0,3,525,0,194
341,RBF_80_0.0,Teste,1,7,525,2,187
342,RBF_80_0.0,Teste,2,4,519,0,198
343,RBF_80_0.0,Teste,3,7,519,2,193
344,RBF_80_0.0,Teste,4,7,516,1,197
345,RBF_80_0.0,Teste,5,7,526,0,188
346,RBF_80_0.0,Teste,6,11,522,0,188
347,RBF_80_0.0,Teste,7,4,545,1,171
348,RBF_80_0.0,Teste,8,7,515,0,199
349,RBF_80_0.0,Teste,9,2,517,0,202
